,instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,optionType
49,27591,BANKNIFTY,,2.5,11NOV21,34600.0,0.05,25,OI,FO,NSE,,1,48414,PE
50,27594,BANKNIFTY,,3260.95,11NOV21,34700.0,0.05,25,OI,FO,NSE,,1,48416,CE
51,27595,BANKNIFTY,,2.7,11NOV21,34700.0,0.05,25,OI,FO,NSE,,1,48418,PE
52,27604,BANKNIFTY,,3197.1,11NOV21,34800.0,0.05,25,OI,FO,NSE,,1,48419,CE
53,27605,BANKNIFTY,,2.1,11NOV21,34800.0,0.05,25,OI,FO,NSE,,1,48420,PE
54,27606,BANKNIFTY,,3134.0,11NOV21,34900.0,0.05,25,OI,FO,NSE,,1,48423,CE
55,27628,BANKNIFTY,,2.2,11NOV21,34900.0,0.05,25,OI,FO,NSE,,1,48424,PE
56,27629,BANKNIFTY,,4059.2,11NOV21,35000.0,0.05,25,OI,FO,NSE,,1,48425,CE
57,27630,BANKNIFTY,,2.3,11NOV21,35000.0,0.05,25,OI,FO,NSE,,1,48426,PE
58,27631,BANKNIFTY,,4677.4,11NOV21,35100.0,0.05,25,OI,FO,NSE,,1,48427,CE
59,27633,BANKNIFTY,,2.25,11NOV21,35100.0,0.05,25,OI,FO,NSE,,1,48428,PE
60,27647,BANKNIFTY,,2949.35,11NOV21,35200.0,0.05,25,OI,FO,NSE,,1,48429,CE
61,27648,BANKNIFTY,,2.6,11NOV21,35200.0,0.05,25,OI,FO,NSE,,1,48430,PE
62,27652,BANKNIFTY,,2889.4,11NOV21,35300.0,0.05,25,OI,FO,NSE,,1,48435,CE
63,27653,BANKNIFTY,,2.9,11NOV21,35300.0,0.05,25,OI,FO,NSE,,1,48436,PE
64,27654,BANKNIFTY,,2830.15,11NOV21,35400.0,0.05,25,OI,FO,NSE,,1,48442,CE
65,27655,BANKNIFTY,,2.6,11NOV21,35400.0,0.05,25,OI,FO,NSE,,1,48443,PE
66,27666,BANKNIFTY,,3922.15,11NOV21,35500.0,0.05,25,OI,FO,NSE,,1,48445,CE
67,27668,BANKNIFTY,,2.65,11NOV21,35500.0,0.05,25,OI,FO,NSE,,1,48446,PE
68,27669,BANKNIFTY,,3748.1,11NOV21,35600.0,0.05,25,OI,FO,NSE,,1,48447,CE
69,27672,BANKNIFTY,,2.5,11NOV21,35600.0,0.05,25,OI,FO,NSE,,1,48448,PE
70,27674,BANKNIFTY,,2657.3,11NOV21,35700.0,0.05,25,OI,FO,NSE,,1,48455,CE
71,27676,BANKNIFTY,,2.5,11NOV21,35700.0,0.05,25,OI,FO,NSE,,1,48456,PE
72,27677,BANKNIFTY,,3967.3,11NOV21,35800.0,0.05,25,OI,FO,NSE,,1,48457,CE
73,27682,BANKNIFTY,,2.55,11NOV21,35800.0,0.05,25,OI,FO,NSE,,1,48458,PE
74,27683,BANKNIFTY,,3303.65,11NOV21,35900.0,0.05,25,OI,FO,NSE,,1,48461,CE
75,27684,BANKNIFTY,,2.7,11NOV21,35900.0,0.05,25,OI,FO,NSE,,1,48462,PE
76,27692,BANKNIFTY,,3380.85,11NOV21,36000.0,0.05,25,OI,FO,NSE,,1,48469,CE
77,27693,BANKNIFTY,,2.8,11NOV21,36000.0,0.05,25,OI,FO,NSE,,1,48470,PE
78,27701,BANKNIFTY,,3400.0,11NOV21,36100.0,0.05,25,OI,FO,NSE,,1,48471,CE
79,27716,BANKNIFTY,,2.8,11NOV21,36100.0,0.05,25,OI,FO,NSE,,1,48476,PE
80,27717,BANKNIFTY,,3275.5,11NOV21,36200.0,0.05,25,OI,FO,NSE,,1,48477,CE
